household_id,lat,lon,district,sector,urban,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,stunting_flag,risk_score,risk_label
HH00001,-1.96397,30.05899,Nyarugenge,Nyamirambo,1,3,3,protected_well,3,4,0,0.0004,Low
HH00002,-2.21156,30.18213,Bugesera,Mwogo,0,2,3,piped,2,4,0,0.0001,Low
HH00003,-1.9757,30.41387,Rwamagana,Fumbwe,0,2,2,protected_well,3,2,0,0.0427,Low
HH00004,-1.98073,30.38617,Rwamagana,Gahengeri,1,2,2,piped,3,2,0,0.0039,Low
HH00005,-1.91241,30.02007,Nyarugenge,Kimisagara,1,4,2,piped,3,2,0,0.0214,Low
HH00006,-1.98595,30.11735,Kicukiro,Kagarama,1,4,2,protected_well,2,2,0,0.6629,High
HH00007,-2.21195,30.2181,Bugesera,Mareba,0,1,3,protected_well,1,3,0,0.0197,Low
HH00008,-1.96592,30.03226,Nyarugenge,Rwezamenyo,1,2,3,piped,2,3,0,0.0005,Low
HH00009,-1.90857,30.40936,Rwamagana,Gahengeri,0,4,2,unprotected_well,1,3,1,0.9752,High
HH00010,-1.9279,30.04325,Gasabo,Jabana,1,3,3,protected_well,1,3,0,0.0996,Low
HH00011,-2.1854,30.15522,Bugesera,Kamabuye,1,0,2,piped,3,3,0,0.0002,Low
HH00012,-1.92769,30.19295,Gasabo,Kinyinya,1,1,3,piped,3,2,0,0.0001,Low
HH00013,-2.00864,30.14107,Gasabo,Kinyinya,0,0,1,unprotected_well,3,2,0,0.5505,High
HH00014,-1.98869,30.19611,Kicukiro,Niboye,1,2,3,piped,3,4,0,0.0,Low
HH00015,-1.8572,29.98867,Nyarugenge,Nyamirambo,1,3,1,piped,2,3,0,0.1808,Low
HH00016,-2.03325,29.99907,Nyarugenge,Nyamirambo,0,0,1,protected_well,1,2,1,0.8738,High
HH00017,-1.97394,30.05122,Kicukiro,Kanombe,1,2,3,piped,3,3,0,0.0001,Low
HH00018,-2.05214,29.99952,Kicukiro,Kagarama,1,2,3,piped,2,1,0,0.0105,Low
HH00019,-2.2311,30.10209,Bugesera,Mareba,0,3,3,piped,1,3,0,0.0097,Low
HH00020,-1.9269,30.4256,Rwamagana,Fumbwe,0,2,3,protected_well,3,3,0,0.0007,Low
HH00021,-1.85525,30.4446,Rwamagana,Gahengeri,0,0,1,protected_well,3,1,0,0.3286,Medium
